match_id,t1_name,t2_name,t1_win,t1_officialwin_before,t2_officialwin_before,t1_pagerank_before,t2_pagerank_before,t1_playerrank_before,t2_playerrank_before
30991,Toronto Defiant,Paris Eternal,1,0,0,0,0,1500,1500
30992,New York Excelsior,London Spitfire,1,0,0,0,0,1500,1500
30993,Vancouver Titans,Los Angeles Gladiators,1,0,0,0,0,1500,1500
30994,Los Angeles Valiant,Dallas Fuel,1,0,0,0,0,1500,1500
30995,Paris Eternal,London Spitfire,1,0,0,0,0,1391.7661297072202,1383.4730255189825
30996,New York Excelsior,Boston Uprising,1,1,0,0.0666668098322432,0,1691.695415937338,1500
30997,Vancouver Titans,Los Angeles Valiant,1,1,1,0.2,0.2592595299077106,1717.5036661978118,1709.4225584033493
30998,San Francisco Shock,Dallas Fuel,1,0,0,0,0.033333333333333326,1500,1381.563378495424
31000,Shanghai Dragons,Chengdu Hunters,0,0,0,0.049161331815726156,0,1500,1500
31001,Houston Outlaws,Florida Mayhem,0,0,0,0,0,1434.6775594641201,1506.2100519511507
31002,Washington Justice,Philadelphia Fusion,0,0,0,0,0,1500,1500
31003,Hangzhou Spark,Chengdu Hunters,1,0,1,0,0,1500,1500
31005,Washington Justice,Houston Outlaws,1,0,0,0,0,1453.8729796477821,1440.3288086881262
31006,Philadelphia Fusion,Florida Mayhem,1,1,1,0.17695503323078965,0.05446623093683696,1709.156236371384,1649.7014642348622
31010,Philadelphia Fusion,New York Excelsior,1,2,2,0.18861209964405742,0.14669829972329504,1870.7932778950405,1830.3352872971375
31011,Houston Outlaws,Boston Uprising,0,0,0,0,0,1302.0495071913972,1452.8639148722866
31012,Washington Justice,Paris Eternal,0,1,1,0.036723163841807904,0.03333333333333333,1541.1607172767092,1552.87170891551
31016,New York Excelsior,Houston Outlaws,1,2,0,0.07639751552908122,0,1734.5442617349365,1233.0036362262895
31017,Toronto Defiant,Philadelphia Fusion,0,1,3,0.20396395308521842,0.22698989257160268,1710.9265430966082,1987.8466925866921
31018,Washington Justice,London Spitfire,0,1,0,0.03512396694254966,0,1439.144633555841,1354.1935457382594
31023,New York Excelsior,Florida Mayhem,1,3,1,0.07114624505928853,0.02371541501976284,1762.654845370298,1580.57699096629
31024,Toronto Defiant,Atlanta Reign,0,1,0,0.09090909090909091,0,1657.3112564168039,1500
31025,London Spitfire,Houston Outlaws,1,1,0,0.04983392937496741,0,1450.0001990372057,1267.2407077956855
31029,Philadelphia Fusion,Boston Uprising,1,4,1,0.37680172861673983,0.026109537778962286,1866.9806613937208,1567.4244767427792
31030,Paris Eternal,Atlanta Reign,1,2,1,0.056480874166188945,0.0319155292478988,1685.5845694727484,1732.4858947699784
31031,London Spitfire,Florida Mayhem,1,2,1,0.02616334283000997,0.020655270655270945,1549.049915597157,1537.6834382440081
31032,Toronto Defiant,Houston Outlaws,0,1,0,0.08333333333333333,0,1554.8615830618521,1205.9920731193438
31036,Toronto Defiant,Florida Mayhem,0,1,1,0.03590410338166948,0.0256617697647185,1383.3102762422407,1434.8883842701161
31037,Paris Eternal,Houston Outlaws,0,3,1,0.0772876667386379,0.023050791209127782,1762.7714159439188,1332.768209885957
31038,Washington Justice,Boston Uprising,1,1,1,0.02605441927227732,0.02605441927227732,1338.437207153801,1542.5164975683435
31042,Philadelphia Fusion,Paris Eternal,0,5,3,0.3358628072107409,0.07417683716205516,2035.2466559626525,1567.5538079341566
31043,Boston Uprising,Atlanta Reign,0,1,1,0.02233542824509412,0.04367836849397501,1359.8888640807802,1590.6812720794567
31044,Washington Justice,New York Excelsior,0,2,4,0.028729908223591814,0.058198621582031984,1453.8729796477821,1905.333810521238
31054,Washington Justice,Toronto Defiant,0,2,1,0.019499149687522647,0.05760134805454696,1416.5222093488576,1311.065896104626
31058,Hangzhou Spark,Guangzhou Charge,0,1,0,0.0630474451545645,0,1505.9116877201188,1637.8089325020821
31059,Washington Justice,Philadelphia Fusion,0,2,5,0.017446810152377895,0.11701556798296989,1410.5468616234618,1871.9528413460787
31060,Florida Mayhem,Atlanta Reign,0,2,2,0.029640376491346473,0.02514319226203278,1455.3778584840973,1763.3136391151181
31064,Philadelphia Fusion,Atlanta Reign,1,6,3,0.10839609934276938,0.030152435595965435,1846.1295623537887,1760.7039862742545
31066,Toronto Defiant,Boston Uprising,1,2,1,0.03251310760119243,0.019347532383746886,1418.2403900543825,1180.4985515435314
31071,Los Angeles Gladiators,Dallas Fuel,1,0,0,0.02957253926621465,0,1391.0863860832753,1349.0508679962177
31073,Paris Eternal,Houston Outlaws,1,4,2,0.08620096957566224,0.06891436012447315,1694.2756386885255,1476.05602250776
31087,Houston Outlaws,Boston Uprising,1,2,1,0.0640994347393616,0.018546624625106825,1465.8413673929826,1223.397317222894
31093,Toronto Defiant,Houston Outlaws,0,3,3,0.05489994058287731,0.06644305109453144,1472.7729874902288,1521.204916716255
31094,Philadelphia Fusion,Paris Eternal,1,7,5,0.07764337534137583,0.1254898111646438,1991.994202712175,1714.7492125270749
32804,San Francisco Shock,Los Angeles Valiant,1,1,1,0.01834258273080093,0.037195734257083855,1532.80573841319,1377.4884441832567
32811,Shanghai Dragons,Guangzhou Charge,1,0,1,0,0,1503.8143595250929,1637.8089325020821
32813,San Francisco Shock,Los Angeles Gladiators,0,2,1,0.02495125001034034,0,1616.7507444179048,1388.3589403957642
32814,San Francisco Shock,Los Angeles Valiant,0,2,1,0.021899503976483176,0.021899503976483176,1444.5036058804374,1482.8277458211962
32817,Los Angeles Valiant,Dallas Fuel,0,2,0,0.03257030123728911,0,1595.2813305421896,1349.0508679962177
32822,Houston Outlaws,Dallas Fuel,0,4,1,0.05363437268006889,0.01525089837065104,1482.1939305728908,1414.7950311670768
32823,Florida Mayhem,Boston Uprising,1,2,1,0.05230430734186997,0.017211533673357215,1610.3318853706398,1141.6817447132648
32824,New York Excelsior,Guangzhou Charge,1,5,1,0.054385184413496004,0.04717215632590874,1994.706566623763,1614.5437930565513
32825,Shanghai Dragons,Seoul Dynasty,1,1,0,0.056753547287526504,0.026918088359347406,1884.7525407039793,1820.055970276836
32826,Hangzhou Spark,Chengdu Hunters,1,1,1,0.032254901258331595,0.05608183117655198,1593.9427171136363,1482.2784048481988
32827,San Francisco Shock,Los Angeles Valiant,1,2,2,0.02784026836584837,0.02434360815282134,1715.7824055144756,1360.162374749105
32828,Philadelphia Fusion,Atlanta Reign,1,8,3,0.1219929157780713,0.03457717861626383,2106.0173202697792,1662.4123683111454
32829,New York Excelsior,Chengdu Hunters,1,6,1,0.0460786438579993,0.057256688148752885,1944.8612178145106,1548.5587555070367
32831,Shanghai Dragons,Guangzhou Charge,1,2,1,0.061482533253895064,0.04969229735226936,1835.200284788976,1635.2519750743425
32832,Shanghai Dragons,Chengdu Hunters,1,3,1,0.042266195583607766,0.02806940063091754,1853.3904188340496,1608.8901325813308
32833,Hangzhou Spark,Guangzhou Charge,1,2,1,0.01748517350157898,0.024479242902211474,1402.467058686054,1765.1667038287867
32841,San Francisco Shock,Los Angeles Gladiators,1,3,2,0.018988753601759837,0.0221535458687349,1463.5724637367803,1631.5639423298858
32842,Seoul Dynasty,Hangzhou Spark,1,0,3,0.021425266768756328,0.03806419316487772,1867.184086382905,1681.2125496074943
32843,Shanghai Dragons,Chengdu Hunters,1,4,1,0.06118956717981437,0.05602218136483683,1697.8848616844452,1607.586420274057
32844,Hangzhou Spark,Guangzhou Charge,0,3,1,0.041936747327697754,0.049918318235671846,1530.2913910687885,1660.596746652854
32845,Shanghai Dragons,Hangzhou Spark,1,5,3,0.06118956717981437,0.043667876909303543,1810.323713769234,1550.9966666382222
32851,Guangzhou Charge,Chengdu Hunters,0,2,1,0.05377059990509929,0.044981769660449436,1559.520481774028,1635.59690780122
32852,Shanghai Dragons,Guangzhou Charge,1,6,2,0.06800113657253767,0.06407252840621068,1740.2131869556763,1610.0441626899621
32853,San Francisco Shock,Dallas Fuel,1,4,2,0.025854529288807916,0.016097706105119878,1499.3786025869385,1507.6041313487167
32854,Hangzhou Spark,Chengdu Hunters,1,3,2,0.029141955835985698,0.02806940063091754,1674.4677130036496,1531.7498550198752
32855,Toronto Defiant,Boston Uprising,1,3,1,0.043084309019715286,0.018181952150565256,1475.837960647067,1223.397317222894
32856,Paris Eternal,Florida Mayhem,0,5,3,0.1392777724779843,0.030530356971888124,1614.9545588823646,1610.3478579795028
32857,Seoul Dynasty,Los Angeles Gladiators,1,1,2,0.03377777259748695,0.03754861540657543,1867.184086382905,1576.6864955431797
32861,Los Angeles Valiant,Los Angeles Gladiators,0,2,2,0.025104757227184322,0.025104757227184322,1484.9369234957815,1569.6343767909714
32862,Washington Justice,Atlanta Reign,0,2,3,0.022172175549683662,0.029737905749416767,1307.7563951018517,1767.8823824086421
32863,Guangzhou Charge,Chengdu Hunters,1,2,2,0.03511702893935357,0.09294409299896779,1655.4613983599568,1525.5166325112193
32864,Shanghai Dragons,Hangzhou Spark,1,7,4,0.05263157894736842,0.05263157894736842,1621.3376593554706,1402.467058686054
33021,Seoul Dynasty,Los Angeles Valiant,1,2,2,0,0.03759719008589377,1867.184086382905,1477.8988593097429
33022,Vancouver Titans,Guangzhou Charge,0,2,3,0.022586750788644985,0.028696409794227773,1817.532170629983,1378.083953127568
33071,Washington Justice,Dallas Fuel,0,2,2,0.02137974875302498,0.014195583596214995,1383.2614420220928,1398.4388947083517
33081,Vancouver Titans,Chengdu Hunters,0,2,2,0.023292127521339284,0.028633702017230825,1689.4334404881697,1412.5151678659008
34128,London Spitfire,Hangzhou Spark,0,3,4,0.029471976619919186,0.05294898689978754,1573.3030625973502,1674.4677130036496
34129,Guangzhou Charge,Chengdu Hunters,1,4,3,0.06900878716220696,0.07922391067437244,1842.6799834736548,1535.9506036143605
34130,Shanghai Dragons,Hangzhou Spark,1,8,5,0.10686624584221686,0.058554479703180506,1900.9777719118902,1637.7581529878682
34189,Los Angeles Valiant,Boston Uprising,1,2,1,0.03574757682029778,0.013337104575513348,1498.4505894395259,1121.2304561597946
34190,Washington Justice,Florida Mayhem,0,2,4,0.018129974203552036,0.0397784097600582,1411.354186107875,1671.0311731447193
