match_id,t1_win,avg_10_t1_Hero_Damage_Done,avg_10_t1_Final_Blows,avg_10_t1_Healing_done,avg_10_t1_Deaths,avg_10_t2_Hero_Damage_done,avg_10_t2_Final_Blows,avg_10_t2_Healing_done,avg_10_t2_Deaths
34715,1,3620.259829375456,3.662059552880511,2009.614741596687,2.947086021127649,3421.611167943348,2.9296476423044084,1873.6517482099327,3.7492514469967135
34716,1,3245.4054305964582,2.4493699129623407,1937.7004568076486,2.4689648722660396,3150.947717465431,2.3905850350512443,2005.017467215828,2.4493699129623407
34717,0,3234.2203059124954,2.533350039587409,1780.2017977715495,4.753047217130662,3479.3353768946386,4.608284357725667,1776.0906595443978,2.5816043260557406
34718,1,3914.3678759076547,4.213331828135034,1845.873052965639,2.681211163358658,3160.7912379730546,2.5960933486488593,2089.5274064792093,4.298449642844832
34719,0,3104.612231969234,3.2066594435745683,1805.6879697637273,2.867130796607849,3235.793802155512,2.8105426887800626,1671.738950188247,3.2632475514023542
34720,0,2636.277889566754,2.2135317009465663,1926.8097898768126,3.6034236992153406,3597.9630969913087,3.6034236992153406,1603.8846170660076,2.2135317009465663
34741,1,3777.2607684449526,3.470246391443018,2325.396319002015,3.3674242761410027,4055.637739499586,3.316013218489995,1958.1812979523909,3.5987740355705373
34742,1,3538.6623373385983,2.878166042634315,1935.645313716043,2.6075692352071576,3368.8162751494506,2.5583698156749466,2129.6068673384534,2.878166042634315
34743,1,3423.3372093620915,3.7058276671867403,1840.6557058866215,2.7318601392722766,3247.1140216688837,2.684349528154498,1640.6008179307487,3.7533382783045193
34744,1,3335.2209045382815,3.838446363072593,2135.5798757759717,2.6811258515934195,3513.2633932168997,2.6811258515934195,1644.7540079510943,3.838446363072593
34745,1,3127.366023901714,3.177016418089412,1533.5536971710594,3.177016418089412,2972.6411311123175,3.1048114994964706,1580.1470321399179,3.2311701070341177
34746,0,3483.897515180098,2.943041800700252,1978.9307128499304,4.125513952767317,3856.303627860523,4.099236793832493,2038.560212726404,2.943041800700252
34747,0,2996.9304107333355,2.6573951625774974,1991.1872301816977,4.23679040071318,3828.438101563454,4.211720635028487,1662.3326300571155,2.6824649282621906
34748,1,3592.0839468034364,3.5462435126522402,1958.6605280997655,2.041151789259138,3143.966361635427,1.9999163995771356,1985.688278602317,3.5668612074932415
34749,1,3661.6661323864696,3.013004581958273,2353.3498625317525,3.5550265702470627,4083.3296038084504,3.5072011006921695,2037.9572489117093,3.044888228328202
34750,0,3922.885428801979,3.3372124571652977,1769.4484236534965,3.626148600642813,3409.5749827643194,3.5250209504256826,2272.0124050463696,3.4094464930346766
34751,0,3843.75750489102,3.2050389047570467,2053.2313558849014,2.9370935300828243,3470.071948227571,2.8237320254129608,2223.4797167109864,3.2462612700915425
34752,0,3222.821299123815,2.2045878259444365,2446.2019883339767,4.583222059200276,4354.522815417271,4.5252065900964755,2085.930989044784,2.291611029600138
34754,1,3559.507131906555,3.251529990554111,1689.330629446546,2.251059224229769,2946.609159447969,2.231819401800455,1992.3533328556714,3.347729102700682
34755,1,3625.8036740473544,4.136126544458095,1588.6944641772454,2.1530521738275015,2719.155600271745,2.12472253996135,1819.5658729388479,4.136126544458095
34756,1,3968.8564288437915,4.06059803897586,2132.8653787145677,2.1102320517512343,3336.800019784044,2.0782588388459127,2228.9656609773256,4.092571251881181
34757,1,3566.4143614940167,3.341691835263582,1719.561992087547,2.6143824358238614,3032.0621757641306,2.594725425028193,1903.4457492143624,3.400662867650586
34758,0,2919.351944374123,2.5320996122661397,1751.443049516705,2.5568030231175167,3070.9948323240333,2.4950444959890747,1692.772629183709,2.5691547285432055
34759,0,2917.749452491299,1.7878367199340384,2132.5398427004684,3.3841195055894295,3827.966864454519,3.352193849876322,1861.5320144772768,1.7878367199340384
34761,1,3354.537818019472,2.4956498782602727,2118.6535265796165,2.1514223088450626,3194.6207252266877,2.0653654164912605,1930.2901981903913,2.639078032183277
34762,0,2992.682658328484,2.0217726965422753,1569.6122038793872,3.356905609353212,3277.0934729346454,3.166172336094507,1885.6904617752668,2.0217726965422753
34763,0,3066.6701162519284,2.5845938395755614,1948.776672077064,3.381510273444693,3325.910658771806,3.316895427455304,1744.803601429956,2.6707469675614135
34764,1,3462.0336335433794,3.2239669301386757,1578.4616181001566,2.261976797758587,2606.6231658103466,2.261976797758587,1987.4261763775635,3.301966130061386
34765,1,3601.624781871784,3.8016750582331946,1573.1235626702248,2.855803751878524,2992.51561972097,2.8194240862494984,1977.8890012545453,3.8926242223057588
34766,1,2984.9260986086206,2.8261642737798187,1826.1403957868483,3.6254834623236056,3540.092859149163,3.497021449879069,1747.4263033073557,2.8547113876563825
34767,0,2790.9532242132063,1.6209086688694558,1940.919852047376,4.81891766420649,3731.3736588070947,4.643684294598981,1788.4897563574439,1.6209086688694558
34768,1,3027.9098199883183,2.654857444949101,1649.808091992944,2.208662916386227,2780.6658095179273,2.119424010673652,1660.0441384885453,2.788715803517963
34769,0,2986.851140302754,2.342256142561584,1616.6912427141554,4.205414437781027,3272.242261635896,4.098948249482772,1780.0459397861357,2.422105783785274
34770,1,3034.072111997532,3.4516099827105617,1839.9428354936724,1.6337620584829993,2881.776713630056,1.6337620584829993,1543.0495859365064,3.681717314891266
34771,0,3442.2659788598107,2.4540823864894756,1758.7294047645348,3.877450170653371,3515.4403036719655,3.7547460513288975,2205.3731533923656,2.576786505813949
34772,1,3309.5665515300793,4.0503109849795775,1634.2128579487614,3.3782862924044905,3241.0590570841478,3.305634974288265,1716.1914271689056,4.1592879621539165
34773,1,3676.0661572619665,4.092076743406013,1412.1277934766836,1.5715946913081065,2290.125715535636,1.5419419612834255,1927.3270923361745,4.210687663504738
34774,1,3393.76506604383,3.391608504653359,1937.3602872361373,1.947034511930632,3066.4943955593017,1.8842269470296438,1933.8439270242459,3.423012287103853
34775,1,3034.431224525981,4.304575706227966,1833.3141758910808,2.530170453279033,3101.166926139281,2.530170453279033,1557.0443448346941,4.403153775836239
34776,0,2893.5088283173836,2.7787331363962813,1939.9802360630358,3.7427834082072358,3847.2429902911726,3.7144289884480903,1677.2241669173443,2.8354419759145726
34777,1,3172.8133897081407,3.3216318905527134,1637.495109397957,1.8545778055585982,2742.659030638693,1.7715370082947803,1704.2972722685472,3.3769924220619254
