match_id,t1_win,avg10_t1_All_Damage_Done,avg10_t2_All_Damage_Done,avg10_t1_Assists,avg10_t2_Assists,avg10_t1_Average_Time_Alive,avg10_t2_Average_Time_Alive,avg10_t1_Barrier_Damage_Done,avg10_t2_Barrier_Damage_Done,avg10_t1_Damage_Blocked,avg10_t2_Damage_Blocked,avg10_t1_Damage_Done,avg10_t2_Damage_Done,avg10_t1_Damage_Taken,avg10_t2_Damage_Taken,avg10_t1_Deaths,avg10_t2_Deaths,avg10_t1_Eliminations,avg10_t2_Eliminations,avg10_t1_Final_Blows,avg10_t2_Final_Blows,avg10_t1_Hero_Damage_Done,avg10_t2_Hero_Damage_Done,avg10_t1_Multikills,avg10_t2_Multikills,avg10_t1_Objective_Kills,avg10_t2_Objective_Kills,avg10_t1_Objective_Time,avg10_t2_Objective_Time,avg10_t1_Offensive_Assists,avg10_t2_Offensive_Assists,avg10_t1_Time_Alive,avg10_t2_Time_Alive,avg10_t1_Time_Building_Ultimate,avg10_t2_Time_Building_Ultimate,avg10_t1_Time_Elapsed_per_Ultimate_Earned,avg10_t2_Time_Elapsed_per_Ultimate_Earned,avg10_t1_Time_Holding_Ultimate,avg10_t2_Time_Holding_Ultimate,avg10_t1_Time_Played,avg10_t2_Time_Played,avg10_t1_Ultimates_Earned_-_Fractional,avg10_t2_Ultimates_Earned_-_Fractional,avg10_t1_Ultimates_Used,avg10_t2_Ultimates_Used,avg10_t1_Damage_-_Quick_Melee,avg10_t2_Damage_-_Quick_Melee,avg10_t1_Defensive_Assists,avg10_t2_Defensive_Assists,avg10_t1_Environmental_Kills,avg10_t2_Environmental_Kills,avg10_t1_Healing_Done,avg10_t2_Healing_Done,avg10_t1_Knockback_Kills,avg10_t2_Knockback_Kills,avg10_t1_Melee_Final_Blows,avg10_t2_Melee_Final_Blows,avg10_t1_Melee_Percentage_of_Final_Blows,avg10_t2_Melee_Percentage_of_Final_Blows,avg10_t1_Shots_Fired,avg10_t2_Shots_Fired,avg10_t1_Weapon_Accuracy,avg10_t2_Weapon_Accuracy,avg10_t1_Environmental_Deaths,avg10_t2_Environmental_Deaths,avg10_t1_Solo_Kills,avg10_t2_Solo_Kills,avg10_t1_Turrets_Destroyed,avg10_t2_Turrets_Destroyed,avg10_t1_Teleporter_Pads_Destroyed,avg10_t2_Teleporter_Pads_Destroyed,avg10_t1_Recon_Assists,avg10_t2_Recon_Assists
30991,1,75621.99604190316,62846.00782324875,75.77502978493027,65.97125234644874,406.95981990453487,348.61561508802066,39376.78040510858,23721.029305737768,30925.71895305113,39376.78040343377,34110.34092684347,38480.220361409054,38860.910690142955,34135.740091428066,32.883503491573514,35.5386932144956,111.10947763612418,98.03777438481545,35.130202487892205,30.841049858556527,34110.34092684347,38480.220361409054,1.8382082697152897,2.2466989963186874,56.371720271268885,48.40615110250263,591.4541491804581,524.7972430865274,37.37690148421089,34.7217117612888,3283.875431285186,3263.4325126476488,2948.5026940969838,2912.7366748127556,453.56979998083165,486.96165599273786,535.9410744128627,571.5543182674638,600,600,33.06478886501117,30.103958315203528,28.185860135634442,23.896707506298767,301.27014437028464,286.9533164441814,31.862276675065022,34.925957124590504,0.20424536330169887,1.2254721798101933,21951.730806185078,20045.24171708927,18.382082697152896,8.98679598527475,0.8169814532067955,1.0212268165084941,0.10333842787070456,0.1774054278234096,15331.26970551542,4303.654050130097,1.183242912367245,1.3484628959688405,2.0424536330169882,0.40849072660339775,1.429717543111892,2.6551897229220853,5.310379445844171,4.697643355939074,1.0212268165084941,0.8169814532067955,1.429717543111892,0.20424536330169887
30992,1,63513.88329626682,57140.17399713974,65.14538173425339,44.72667999665159,553.0616180032358,402.28937315534586,26886.220443209637,25998.33770136996,33098.67626801852,35302.44010793067,36031.54034464294,30844.21000346957,31084.704213697143,36297.67447401901,24.502442085122173,34.03116956266969,98.59315981870589,68.84019442962897,33.05885043230769,23.72458678083258,36031.54034464294,30844.21000346957,1.944638260723982,1.1667829564343892,38.698301388407245,27.613863302280542,549.0993545236182,442.4406099497297,34.22563338874208,25.085833563339367,3343.951826260963,3261.6302306804023,3078.069399640799,3017.2430575973144,486.0786687699587,509.5462160813251,447.03345648345197,476.87918199518083,600,600,30.92847710403613,29.3929355350059,31.30867599765611,26.641544171918554,502.3695550097019,307.16987116294894,26.05815269370136,22.168876172253395,0.3889276521447964,0.3889276521447964,18202.42547793282,19881.836089355496,13.806931651140271,8.75087217325792,3.889276521447964,2.916957391085973,0.8858108972062272,0.6706055578892365,13542.071920029664,13747.231256536044,1.3273288045033595,1.2116003948377707,0.7778553042895928,0.972319130361991,3.305885043230769,4.0837403475203615,0,0,0,0,0.972319130361991,0.5833914782171946
30993,1,57989.833798788335,54209.03787755783,72.50783125325614,66.19496037299753,420.5342472727899,405.51159905759437,19451.715087593686,16084.65410250418,25139.078198277173,29253.168601054775,38167.16760933439,37670.16938878701,37869.9409570612,38342.68266115779,32.28582535903694,38.59869623929556,110.20468879537191,97.93968251372658,36.97538658437192,31.38398666185714,38167.16760933439,37670.16938878701,3.6073547887192112,2.164412873231527,38.77906397873152,35.893180147756155,415.4785431726137,418.36623073870095,26.874793175958125,26.694425436522167,3280.2047835744106,3222.6211181291123,2916.8041774389667,2939.4010090219017,534.878625805965,510.78953779976825,573.8645099014739,568.8003247386596,600,600,30.59672830214322,33.58744357965819,29.03920604918965,30.84288344354926,357.2357622220343,477.26290619963186,34.45023823226847,32.646560837908865,0.7214709577438422,0.3607354788719211,21295.396552327456,20006.262613866038,15.150890112620688,16.593832028108373,2.164412873231527,1.6233096549236452,0.6017873827563378,0.4190752028812663,19349.670718950412,15470.862482380082,1.5477521015407227,1.4300337021552176,0.9018386971798028,1.6233096549236452,2.8858838309753687,1.4429419154876844,0,0,0,0,0,0
30994,1,61878.07244792047,54057.1527161628,68.38740534430353,63.11454465186892,312.45355193905675,294.9311812164632,25733.237232876476,18333.760505185575,26617.771390087928,29384.248476455297,35012.33654692329,35481.52901409746,35596.50978227695,35119.73039510264,35.31218827357729,36.111106560309814,104.33872824726684,98.26694926809971,35.15240461623079,34.83283730153778,35012.33654692329,35481.52901409746,1.1184856014255251,1.1184856014255251,30.838245867875195,30.67846221052869,388.5881140808912,384.9701326604851,30.35889489583568,31.317596839914703,3242.41363933988,3237.2887381543633,2907.8531723524675,2795.0407940570417,374.26796500673765,395.5373715816054,565.8530673321558,698.6253012630084,600,600,32.32823951048638,28.368872003640945,32.11651512664722,23.328413972589523,452.1554900548722,507.8171738550379,27.96214003563813,30.998029525221696,0.798918286732518,0.3195673146930072,18108.679377815784,18542.20519619813,21.73057739912449,10.865288699562244,1.917403888158043,2.5565385175440576,0.2530404516658564,0.38669269086990404,13453.304597603563,10789.870813294696,1.0644420914835035,1.2814561891963636,0.47935097203951077,0.9587019440790215,4.314158748355597,3.9945914336625896,0,0,0,0,1.2782692587720288,0.3195673146930072
30995,1,65163.4849930796,66466.27545856673,100.79672799254186,62.86247552223041,412.60633122027053,326.6131717835321,26769.265170662147,34984.18338595919,34984.183385959186,31959.307245281114,38182.7678780712,30071.13780018356,30108.166572343853,38269.903481368754,26.824935675434528,39.018088255177496,139.81481624771934,89.68741119766493,37.12137563166192,24.115346213269426,38182.7678780712,30071.13780018356,4.064384193247656,3.5224663008146346,69.36549023142666,40.64384193247656,496.0559379330514,444.9308605199675,52.836994512219526,26.553976729218014,3333.8272209917795,3218.162701599556,2948.472102830009,3095.5139408329965,495.6361368860775,573.1057761009873,522.3722841958912,413.45870673459405,600,600,29.628428198802816,27.566051264732113,23.573428320836403,21.67671569732083,360.6666821341475,265.5919517281335,47.688774534105825,30.889319868682183,1.8967126235155727,2.7095894621651038,18716.51969316625,20139.699102792325,10.296439956227394,14.902742041908072,2.7095894621651038,1.6257536772990622,0.40000957339504034,0.22805711288492359,3715.118111574574,12771.649929915215,1.2336069466776856,1.1366648194172981,2.7095894621651038,1.8967126235155727,2.167671569732083,0.2709589462165104,0,9.483563117577862,0,1.3547947310825519,1.0838357848660416,0
30996,1,67538.6553487308,53018.486625962716,73.01265709919204,44.60187421122192,525.0683842457669,416.98759674453436,33296.26783366648,21485.79900280803,31526.89520341223,33296.26783000057,32941.67629992221,31364.625314439054,31439.329950968273,33022.58944616191,23.522906262082792,36.35358240503704,109.06074721511114,68.12478047330471,36.04809011591908,23.522906262082792,32941.67629992221,31364.625314439054,2.4439383129436667,0,42.157935898278254,34.21513638121133,431.7834254164877,460.4804554377946,34.82612095944725,22.30093710561096,3359.6173351591738,3251.98720561512,3191.9539946991017,2974.7413336580616,573.5402750669131,614.6951318270466,296.45155903255136,518.3874367924986,600,600,31.427583119614663,27.95270920750668,21.68995252737504,18.63502963619546,793.497432053355,355.13992009306025,31.16021349003175,23.522906262082792,0,0,19238.520704867857,17570.15173071162,19.551506503549334,9.775753251774667,5.804353493241209,1.5274614455897917,0.9373005011818618,0.4797795567763923,13202.154766521688,5345.198582696917,1.836236125018961,2.0408883183966577,0,0,2.138446023825708,0.916476867353875,0,0,0,0,0,1.5274614455897917
30997,1,60761.844216244164,52525.23672854072,74.471907293398,54.61273201515854,400.11727818583796,305.18799676141003,20881.45663795969,14350.719364588042,23880.544150780577,31896.847179522712,38826.338393947706,37352.3584130445,37409.09573396783,38999.99496128595,28.13383164417258,40.26999431420781,114.19025784987694,82.74656365933112,38.61506304102119,28.13383164417258,38826.338393947706,37352.3584130445,1.6549312731866224,1.3791093943221855,43.57985686058105,33.098625463732446,477.0361604386365,472.39876703482855,35.58102237351238,23.44485970347715,3319.8341588958006,3213.5848097664793,2893.0295746423944,2840.575698845759,449.396330581569,454.5384506345864,588.2414767895065,666.4196050329996,600,600,33.523842682012535,33.4295318472492,32.82280358486801,28.96129728076589,393.9718711055676,461.25151750302234,36.96013176783457,24.548147218934897,1.1032875154577482,0,21347.416667916154,20224.367862593386,16.82513461073066,15.721847095272913,4.137328182966556,1.3791093943221855,0.49952723081839523,0.25393125365843255,18796.157757095927,15845.691118883045,1.4738397949849082,1.3820498174583231,0,1.6549312731866224,3.3098625463732447,1.6549312731866224,0,0,0,0,0,0
30998,1,68588.02457271291,52233.09547379279,80.16806754617889,58.285964742010954,461.78546351951593,357.67364055272986,32397.7492655297,20785.10643582449,29818.06156495143,33693.57740383246,35175.70462623891,31217.359272276324,31291.546179935056,35189.50041279426,30.038159303903257,39.785641462123515,119.95370900830241,88.32412404591422,39.387785047502284,30.038159303903257,35175.70462623891,31217.359272276324,3.1828513169698813,0.9946410365530879,52.11919031538181,42.37170815716155,544.2331769018716,520.9756837088715,33.81779524280499,30.634943925835106,3293.653233759863,3208.0381119125736,2938.9115111202973,2859.1924224094864,488.1527875085263,539.0608089300837,555.9566130630631,610.7464161271549,600,600,29.92654722614823,26.351086750200757,25.064954121137816,21.68317459685732,367.19593383383915,360.12074054566096,34.016723450115606,30.634943925835106,0.39785641462123517,0,16072.476994971537,19195.741154611347,20.68853356030423,9.349625743599027,2.5860666950380287,1.392497451174323,0.28531406024469813,0.2605012239538698,17115.58402879823,8169.981474247064,1.3480719771720866,1.5506255899899801,0,0.39785641462123517,3.1828513169698813,2.387138487727411,0,0.9946410365530879,0,0.19892820731061758,0.19892820731061758,0.39785641462123517
31001,0,49950.84199727487,64960.309933236196,42.25234601688793,73.71685900818744,355.8919991381406,732.7215671144861,21431.125534685372,24243.580128527614,33485.85732056211,29544.713210399947,28431.91548524572,40581.95590241653,40692.805834474195,28567.090349116348,40.15471181746796,19.178369823268277,60.83139178317908,113.57190879716684,18.579045766291145,39.855049788979386,28431.91548524572,40581.95590241653,0,0,20.377017937222547,45.54862833026216,482.77382164162003,470.1217908044791,15.582425481405478,25.471272421528184,3205.887261397565,3409.322724457007,2861.8761389131732,2706.2020105501574,584.2290229660114,524.4836461751855,632.4885713519628,744.6712502309958,600,600,27.92956273942198,29.9321476305724,27.868568649436718,29.666540820368116,233.09479645364974,332.3251907325364,23.673300250596782,40.15471181746796,0,0,18639.912687352902,17566.46832444209,12.585805196519807,15.882087509894044,1.4983101424428342,0.2996620284885668,0.6742395640992754,0.027242002617111714,12311.914102481258,16483.20953904211,1.5032203711791627,1.422580892294499,0.2996620284885668,0.5993240569771336,0.2996620284885668,3.5959443418628023,0,0,0,0,0,1.1986481139542673
31002,0,67847.29301070915,60172.13617792433,51.12883563613114,56.08194158838135,377.5022670049054,331.68427105726784,34531.58395448426,25863.49226260051,34313.56060875733,38006.62716458437,32048.96652596954,33762.3901815177,33889.27226776374,32113.28208204983,31.476189438493236,28.12085959987213,79.08991762464036,87.55813102687459,27.6415267657834,31.15663421576742,32048.96652596954,33762.3901815177,0.6391104454516393,1.7575537249920081,28.12085959987213,40.423735674816186,421.69179516393797,508.7437533623343,25.72419542942848,30.197968547589955,3291.5818660140517,3309.40857456379,2948.698140741147,2780.53667372952,383.97135773716235,390.05808006127853,535.5675388148641,697.2864528916418,600,600,31.5174780173044,28.313096129968432,28.60019243396086,22.6884208135332,292.53676164959916,353.327373005652,19.492868586274998,27.00241632033176,0.31955522272581965,0.31955522272581965,18787.47801501212,19591.365528960392,12.462653686306968,9.90621190450041,2.396664170443647,1.917331336354918,0.38733966387135044,0.3677957707842196,11088.246673363217,6792.785369482749,1.1294797205601341,1.163655604232564,0.31955522272581965,0.4793328340887295,2.875997004532377,2.5564417818065572,0.31955522272581965,0,0,0,1.4379985022661885,0.958665668177459
