,match_id,t1_name,t2_name,t1_win,avg10_t1_All_Damage_Done,avg10_t2_All_Damage_Done,avg10_t1_Assists,avg10_t2_Assists,avg10_t1_Average_Time_Alive,avg10_t2_Average_Time_Alive,avg10_t1_Barrier_Damage_Done,avg10_t2_Barrier_Damage_Done,avg10_t1_Damage_Blocked,avg10_t2_Damage_Blocked,avg10_t1_Damage_Done,avg10_t2_Damage_Done,avg10_t1_Damage_Taken,avg10_t2_Damage_Taken,avg10_t1_Deaths,avg10_t2_Deaths,avg10_t1_Eliminations,avg10_t2_Eliminations,avg10_t1_Final_Blows,avg10_t2_Final_Blows,avg10_t1_Hero_Damage_Done,avg10_t2_Hero_Damage_Done,avg10_t1_Multikills,avg10_t2_Multikills,avg10_t1_Objective_Kills,avg10_t2_Objective_Kills,avg10_t1_Objective_Time,avg10_t2_Objective_Time,avg10_t1_Offensive_Assists,avg10_t2_Offensive_Assists,avg10_t1_Time_Alive,avg10_t2_Time_Alive,avg10_t1_Time_Building_Ultimate,avg10_t2_Time_Building_Ultimate,avg10_t1_Time_Elapsed_per_Ultimate_Earned,avg10_t2_Time_Elapsed_per_Ultimate_Earned,avg10_t1_Time_Holding_Ultimate,avg10_t2_Time_Holding_Ultimate,avg10_t1_Time_Played,avg10_t2_Time_Played,avg10_t1_Ultimates_Earned_-_Fractional,avg10_t2_Ultimates_Earned_-_Fractional,avg10_t1_Ultimates_Used,avg10_t2_Ultimates_Used,avg10_t1_Damage_-_Quick_Melee,avg10_t2_Damage_-_Quick_Melee,avg10_t1_Defensive_Assists,avg10_t2_Defensive_Assists,avg10_t1_Environmental_Kills,avg10_t2_Environmental_Kills,avg10_t1_Healing_Done,avg10_t2_Healing_Done,avg10_t1_Knockback_Kills,avg10_t2_Knockback_Kills,avg10_t1_Melee_Final_Blows,avg10_t2_Melee_Final_Blows,avg10_t1_Melee_Percentage_of_Final_Blows,avg10_t2_Melee_Percentage_of_Final_Blows,avg10_t1_Shots_Fired,avg10_t2_Shots_Fired,avg10_t1_Weapon_Accuracy,avg10_t2_Weapon_Accuracy,avg10_t1_Environmental_Deaths,avg10_t2_Environmental_Deaths,avg10_t1_Solo_Kills,avg10_t2_Solo_Kills,avg10_t1_Turrets_Destroyed,avg10_t2_Turrets_Destroyed,avg10_t1_Teleporter_Pads_Destroyed,avg10_t2_Teleporter_Pads_Destroyed,avg10_t1_Recon_Assists,avg10_t2_Recon_Assists
84,34230,San Francisco Shock,Houston Outlaws,1,46378.46713,59638.6222,56.21137977,62.98656626,217.7359422,548.6021497,19622.66356,20909.44111,19744.64535,21923.13927,22208.87179,37273.05887,21669.85972,36088.29297,19.56360583,26.81313209,79.96216849,95.93893451,22.96857629,32.64469417,22208.87179,37273.05887,2.052936244,1.376348396,36.24666025,29.51876695,278.9654209,376.7793193,25.87060461,22.88761779,1967.666038,3333.862213,1766.717905,2905.40793,288.2500141,509.9008521,312.5568017,582.2137005,360,600,17.84544054,31.20454802,13.44260584,26.15234035,226.1074796,492.8590713,25.18579735,37.55690528,0.782212431,0.307674079,12931.0008,19487.50334,6.743501616,17.11538134,1.15157412,2.620515484,0.188838723,0.639478391,4661.748856,15307.61711,0.764325212,1.419881422,0.408400982,0.280436052,1.6053595,2.138330403,0.612129165,0.62395878,0.099027185,0,0.472844744,0.219182469
85,34229,Seoul Dynasty,Hangzhou Spark,0,37278.15218,61801.66297,39.72957254,43.38410561,254.1461984,745.2252444,12666.47158,20069.07558,16133.35836,24750.67055,20263.68516,37031.27586,19012.99836,33218.20746,18.25209855,22.50313596,59.13256886,67.92676874,19.17836501,24.13001488,20263.68516,37031.27586,0.965258536,0.137549416,21.05120778,26.03534041,187.8633669,362.2380962,15.14130911,12.15133489,1977.394615,3387.511771,1748.761452,2812.782849,320.9441302,588.8288375,351.667798,662.3008492,360,600,16.70844138,30.72192702,13.41771272,26.05304418,206.7665191,330.9637387,22.54896025,30.11327042,0.224631314,0.412648249,10167.93736,18873.22944,5.754219362,7.299217061,1.400087386,0.819761631,0.214202124,0.231907463,5806.78189,10106.70923,0.803034506,1.429487281,0.330261344,0.402607738,1.034554037,2.240667434,1.256686132,2.328369505,0.03336664,0.265058322,0.680298391,0
86,34228,New York Excelsior,Chengdu Hunters,1,37146.32556,61182.24867,38.61246737,44.57939273,313.7915206,497.3779161,12984.75429,25433.17932,15693.38628,21999.94236,20122.10995,31461.89686,19820.62012,35641.94969,16.65147525,27.21375837,57.54437058,67.63085601,18.82187589,22.76415308,20122.10995,31461.89686,1.954252513,1.696327895,18.4780073,24.62896946,221.3238077,313.0576969,15.69932527,19.38957595,1990.011302,3333.264617,1777.312754,2947.95226,353.7444455,535.8307546,316.0920712,554.0651545,360,600,17.66846021,28.93826048,14.72086064,25.67788415,314.174496,183.5629703,20.52143021,28.17721122,0.110027318,0.287310206,10754.71358,18437.72944,7.5741969,11.06265862,1.619040882,1.171560659,0.342268125,0.267295088,6930.803022,15460.42728,0.820809097,1.292403441,0.22066876,1.092677043,0.852751082,1.640678808,2.133896509,3.253990418,0,0.154440745,0,0
87,34227,Philadelphia Fusion,Paris Eternal,1,41424.33566,67358.41741,43.20642569,61.69976103,241.3960908,323.8508121,17768.1941,27845.83377,17752.09995,33471.41643,22295.08372,38334.76815,20798.52894,43189.05624,14.46529747,42.36918602,63.83299423,88.6266579,20.49303991,26.56768518,22295.08372,38334.76815,1.357646468,1.303580195,31.44766087,36.47067396,293.6975651,513.2379853,20.49617854,25.4078741,2017.712976,3183.318786,1696.302648,2993.181146,241.7365624,470.4173718,389.9001592,460.300026,360,600,18.100159,34.72630828,15.22348897,30.22941771,280.2177087,597.099537,21.22234714,30.21034737,0.133528627,0.359211681,12691.82213,23600.05797,7.07596737,10.16029291,1.503738658,2.854988811,0.201972488,0.381681168,6879.747435,12265.95678,0.704046903,1.38175533,0.358704158,1.121764413,1.296670093,1.3671413,2.266467294,1.365356685,0.328033629,0,0.063016462,0.052513719
88,34226,Florida Mayhem,Boston Uprising,1,41048.95218,52436.99653,60.3288867,46.2929871,397.3264858,354.5095501,15628.12747,20241.34296,18855.81394,28190.45043,24325.17897,30281.58454,20324.71227,39335.15709,12.85006409,42.23141218,86.16482696,67.67357417,25.38727551,21.12513168,24325.17897,30281.58454,2.804242036,0.645980298,38.15453342,29.03872759,313.105487,464.1309445,21.83193182,19.01859888,2031.31742,3192.289001,1748.081483,2914.373207,331.999649,701.0554733,334.4283183,580.3951437,360,600,18.67328633,28.32981923,14.97162378,21.78026194,451.808429,346.9387731,29.19933343,21.11735691,0.448664747,0.255455392,12778.3225,20575.09337,7.38050046,5.716070682,2.543327929,1.189538494,0.407969306,0.20055768,6587.715366,11894.33626,0.746224652,1.470324703,0.508379887,0.990733878,1.530331257,1.968343841,0,1.40941156,0,0,0.513571482,0.244921167
89,34225,Toronto Defiant,Los Angeles Gladiators,0,43117.80542,58426.84596,40.63106181,70.81319209,236.7894397,339.5758088,14435.54955,18599.53592,18150.48593,26310.9319,22357.45118,37154.75532,21667.82133,41476.07073,18.83446934,37.81090317,60.12402327,105.5729102,19.28623326,34.00670589,22357.45118,37154.75532,1.754598378,1.633490998,29.60498955,32.86100489,295.5572624,421.572127,17.13752232,22.41771235,1975.217427,3230.168029,1718.799867,2949.48727,285.3674276,458.4010462,375.2052923,532.7980484,360,600,17.30107288,31.49983051,14.89997196,27.44187583,191.0135701,551.5173288,21.12944665,37.14954489,0.206728202,0.753012255,12361.71111,21699.00039,5.453866405,17.25721387,1.148564852,2.903054414,0.230247463,0.369666438,6245.249232,14639.86125,0.722107027,1.322283177,0.642714397,0.693949763,1.488312729,1.992317121,0.810411647,2.804667073,0,0,0.032694189,0.068403995
90,34224,Shanghai Dragons,Seoul Dynasty,0,41172.22174,54965.62878,46.096481,71.21197723,336.2481826,407.8425565,11870.55788,19431.42089,14562.09536,25551.22263,23505.05878,34829.97471,20845.76589,29923.16835,12.66527299,29.21660983,65.78194104,107.1588116,19.08908298,35.62115704,23505.05878,34829.97471,1.201539029,1.716146671,25.8999763,38.83803676,245.7387793,296.1788097,17.46524912,27.2911404,2030.932862,3308.021442,1619.101198,2881.240745,291.1365313,508.7878378,467.0335211,613.3858698,360,600,17.91506758,27.68286156,16.4552944,22.21746345,337.927072,321.0200429,22.42379877,40.5534493,0.596377059,0.325677306,13079.56979,16254.13166,7.918521634,7.205992558,1.705974177,1.57908401,0.305413126,0.196325363,9205.955894,8260.558238,0.731497696,1.282345773,0.39245323,0.793588394,0.679831283,2.293784837,0,0.926644473,0,0,0.23283695,0.077220373
91,34223,London Spitfire,Chengdu Hunters,1,34504.42706,60412.26047,15.85166896,53.82033385,344.3433684,483.594939,10865.10784,25354.29707,15502.60255,21817.6909,18616.35856,32819.31968,21717.57272,34814.07715,16.22212305,26.16315168,24.28424071,81.99051119,8.293666924,27.6212613,18616.35856,32819.31968,0,1.463395929,9.575100168,29.73995097,191.8595905,321.365651,6.22655737,23.98250082,2005.259474,3337.550717,1799.943934,2906.982543,376.0472107,539.0384336,283.2022003,581.5988328,360,600,17.92556634,27.87347617,14.56746384,24.25355367,184.1148615,217.1527196,9.083486877,33.71443037,0.13890482,0.54891604,11371.63173,18319.74421,3.01745971,12.36521158,0.458527497,1.59006576,0.220202205,0.306150683,9184.551481,12881.72471,0.828973471,1.28288885,0.736337138,1.032430621,0.785715026,1.669352676,0.889804091,2.131534382,0,0.154440745,0.118546514,0
92,34222,New York Excelsior,Guangzhou Charge,0,35830.19812,56792.77036,43.34403426,65.61699074,330.9891353,681.2874949,12960.70544,19527.81146,16511.12776,27460.35495,21356.85172,33789.18218,19418.70324,30051.65947,15.07471431,17.7949538,65.76774393,95.02525947,22.09508457,28.78454152,21356.85172,33789.18218,1.838423963,1.553788544,18.79197578,43.70164048,218.5225044,387.9901484,17.16421313,26.23630057,2004.161812,3416.507315,1721.599043,2869.089049,335.6982717,588.197928,370.7793986,616.5087716,360,600,17.57300715,27.60378383,14.86518759,23.12887282,296.7936403,423.7962071,20.93003015,33.88223295,0.328625098,0.623727214,10659.65161,19179.24264,8.825408529,11.62212148,1.646767632,1.88810541,0.257773465,0.306863491,5318.47133,12530.31085,0.824818853,1.387311705,0.232087564,0.228572169,1.479177155,2.096459485,1.917743301,1.321212376,0,0,0,0.198728634
93,34221,Paris Eternal,Los Angeles Gladiators,1,39658.00927,58721.78471,42.93104248,63.31080731,202.1914015,267.6164909,15677.38256,24252.76261,21102.59892,27270.3988,23234.09242,31635.18519,25522.0188,37784.68302,24.0198191,43.35787816,60.96251901,98.102132,17.81446474,33.89137237,23234.09242,31635.18519,1.128304694,1.594853096,27.01504982,28.84727379,319.9502728,340.2845894,17.3049096,26.53392458,1924.030541,3178.617413,1784.033632,3031.126447,303.3648755,522.4681078,293.3549137,463.1920935,360,600,18.52313064,27.58046247,15.37318185,21.34058759,248.3293459,350.2377092,21.42870032,34.43422943,0.217011792,0.899952321,14428.79927,18220.19632,10.19766555,15.86503908,1.484556305,2.346950645,0.214218789,0.286590663,7110.720849,8180.792574,0.778440954,1.37057007,0.764052142,1.369117905,0.874690228,2.951233319,1.031849913,2.804667073,0,0,0.031508231,0.088038013
94,34211,Washington Justice,Vancouver Titans,1,36531.96387,54532.63371,31.6263185,35.779596,251.6755501,321.7330336,16721.64684,21502.3628,18940.68047,28859.86827,19203.58777,31664.22399,25180.16751,37489.67365,24.08809048,41.39356853,45.59439222,56.27462089,13.56364869,20.23341906,19203.58777,31664.22399,0.895802537,0.683830042,19.44327837,15.57221654,233.7109077,259.7634431,11.09940128,15.01212377,1925.951173,3199.974461,1814.085863,2950.593974,374.2413612,573.9480502,279.867001,555.9616805,360,600,17.43620429,28.80945699,13.38387583,20.5891951,178.2212763,472.9193509,16.30996265,21.38483399,0.404425039,0.261605834,13266.92002,18272.96409,8.655071845,4.777263894,1.245838838,1.006833201,0.358008677,0.30709683,5278.735469,7352.908194,0.819177458,1.413459614,0.291129953,0.876030284,1.361656809,2.501292068,0.996570521,0,0.056530288,0,0,0.761735324
95,34201,Houston Outlaws,Atlanta Reign,0,39301.83619,74119.05444,41.58656834,68.03850966,342.8549972,393.602587,16713.99817,32699.44688,16026.34605,31802.44098,21073.35164,39972.54415,20043.07769,35700.94081,15.26261458,33.25372258,62.94844564,98.36278603,21.15075454,30.03470598,21073.35164,39972.54415,1.403534726,0.76170076,21.6972239,45.56046349,201.5017297,484.8198798,16.76892485,28.46362307,2010.43446,3282.445823,1785.218635,2957.506093,354.2363419,496.9517551,305.6787901,522.322686,360,600,17.7128529,29.02115069,14.24169678,22.27121958,193.5590105,416.8442283,25.82620858,35.89701105,0.21112276,0.28957039,11076.94723,20011.02951,9.153547448,13.63756931,1.09623465,1.008070957,0.15759159,0.183393078,6649.670107,7244.233452,0.947959882,1.157756315,0.245291723,0.708871585,1.252057729,1.484225542,2.507224373,0.861322787,0.346635413,0.062458157,0.131509481,0.062458157
96,34189,Los Angeles Valiant,Boston Uprising,1,32990.8279,55776.20414,33.08712806,45.67660193,214.7768125,351.8857849,12824.36571,25277.36406,12742.58651,31601.2062,19443.12779,29246.99955,21308.84628,38096.74472,23.85843214,41.12904452,51.19802149,68.34055354,17.84365957,22.33021586,19443.12779,29246.99955,0.551886013,0.880821372,17.00717138,31.95825994,207.6922279,426.6407573,14.15422426,21.92419129,1929.854811,3203.914624,1795.419508,2943.374541,350.0212329,697.0327278,307.7279319,544.5560732,360,600,16.73659678,26.73557252,13.02289413,20.34783399,177.2249354,253.3497261,17.36343444,22.04964003,0.267233871,0.33373575,10082.12887,20010.77689,7.483022411,4.607705187,0.735068865,1.291838891,0.100681807,0.199936222,6428.455848,8839.0663,0.935432286,1.360013977,0.657751405,0.824093068,1.82578967,1.805562883,0.872285512,2.661897286,0.029013797,0.156560716,0,0
