match_id,t1_name,t2_name,t1_win,avg10_t1_All_Damage_Done,avg10_t2_All_Damage_Done,avg10_t1_Assists,avg10_t2_Assists,avg10_t1_Average_Time_Alive,avg10_t2_Average_Time_Alive,avg10_t1_Barrier_Damage_Done,avg10_t2_Barrier_Damage_Done,avg10_t1_Damage_Blocked,avg10_t2_Damage_Blocked,avg10_t1_Damage_Done,avg10_t2_Damage_Done,avg10_t1_Damage_Taken,avg10_t2_Damage_Taken,avg10_t1_Deaths,avg10_t2_Deaths,avg10_t1_Eliminations,avg10_t2_Eliminations,avg10_t1_Final_Blows,avg10_t2_Final_Blows,avg10_t1_Hero_Damage_Done,avg10_t2_Hero_Damage_Done,avg10_t1_Multikills,avg10_t2_Multikills,avg10_t1_Objective_Kills,avg10_t2_Objective_Kills,avg10_t1_Objective_Time,avg10_t2_Objective_Time,avg10_t1_Offensive_Assists,avg10_t2_Offensive_Assists,avg10_t1_Time_Alive,avg10_t2_Time_Alive,avg10_t1_Time_Building_Ultimate,avg10_t2_Time_Building_Ultimate,avg10_t1_Time_Elapsed_per_Ultimate_Earned,avg10_t2_Time_Elapsed_per_Ultimate_Earned,avg10_t1_Time_Holding_Ultimate,avg10_t2_Time_Holding_Ultimate,avg10_t1_Time_Played,avg10_t2_Time_Played,avg10_t1_Ultimates_Earned_-_Fractional,avg10_t2_Ultimates_Earned_-_Fractional,avg10_t1_Ultimates_Used,avg10_t2_Ultimates_Used,avg10_t1_Damage_-_Quick_Melee,avg10_t2_Damage_-_Quick_Melee,avg10_t1_Defensive_Assists,avg10_t2_Defensive_Assists,avg10_t1_Environmental_Kills,avg10_t2_Environmental_Kills,avg10_t1_Healing_Done,avg10_t2_Healing_Done,avg10_t1_Knockback_Kills,avg10_t2_Knockback_Kills,avg10_t1_Melee_Final_Blows,avg10_t2_Melee_Final_Blows,avg10_t1_Melee_Percentage_of_Final_Blows,avg10_t2_Melee_Percentage_of_Final_Blows,avg10_t1_Shots_Fired,avg10_t2_Shots_Fired,avg10_t1_Weapon_Accuracy,avg10_t2_Weapon_Accuracy,avg10_t1_Environmental_Deaths,avg10_t2_Environmental_Deaths,avg10_t1_Solo_Kills,avg10_t2_Solo_Kills,avg10_t1_Turrets_Destroyed,avg10_t2_Turrets_Destroyed,avg10_t1_Teleporter_Pads_Destroyed,avg10_t2_Teleporter_Pads_Destroyed,avg10_t1_Recon_Assists,avg10_t2_Recon_Assists,t1_pagerank_before,t2_pagerank_before,t1_officialwin_before,t2_officialwin_before,t1_playerrank_before,t2_playerrank_before
35535,Houston Outlaws,Boston Uprising,0,34755.6301222073,35519.85019667445,30.75950426933363,39.13191371542444,334.05455075433173,424.2711121677381,2377.2401040964983,0,8662.412162653589,13517.830240938027,31418.390572672648,33975.70671455201,34507.178674798175,31491.412606413847,34.58169119037509,26.391290645286247,56.78677711261593,72.07552479678176,26.027272843282304,32.215575477349425,31418.390572672648,33975.70671455201,0.3640178020039483,0,17.472854496189516,23.479148229254662,346.7131341892734,343.9309460564377,16.016783288173723,25.84526394228033,3287.4932838967484,3352.572570936316,2880.238160874817,2942.5268869964125,444.0314992490215,455.7343698880589,608.1510911553734,580.4990241536173,600,600,29.882993743942027,31.071250615618613,25.299237239274404,26.027272843282304,602.4516752524388,557.1508485192414,18.200890100197416,26.027272843282304,0,0.7280356040078966,18865.650302797967,18845.33384639356,7.098347139076991,9.100445050098708,2.366115713025664,1.8200890100197415,0.3409096012085151,0.28940859774401206,14987.34094410656,14216.897266165202,1.3854424727925596,1.6157605184031865,2.1841068120236895,0.18200890100197414,5.460267030059224,3.822186921041457,0,0,0,0,1.4560712080157932,0,0.02938613078615684,0.014107297381221684,7,2,1364.3164008838887,1175.2757954683996
31032,Toronto Defiant,Houston Outlaws,0,53096.944604539596,58796.98885476667,63.63791397243249,69.42317887901727,372.18180184812604,428.0282658131251,17413.35135620624,19637.05969538258,25273.621866811074,25138.6938740953,35576.49798201166,38448.740000018835,38507.24341146431,35776.28371071264,35.140127580737136,31.49755338029487,94.06412199965611,104.34903738914014,29.569131744766615,34.497320368894385,35576.49798201166,38448.740000018835,1.285614423685505,0.21426907061425082,43.71089040530717,38.56843271056515,524.3989250611835,474.1196147641726,24.426674050024594,26.783633826781355,3258.9088139695127,3281.451635786301,2886.96490571336,2782.5800830324665,473.89003631845117,473.9396142088427,605.3317833300182,740.6675607705017,600,600,32.6147297363028,31.552982950219878,30.854746168452117,28.28351732108111,425.63652502160716,491.51875882955846,27.854979179852606,35.78293479257989,0.8570762824570033,0.42853814122850165,20902.605584510184,19756.002623714277,14.570296801769056,26.1408266149386,1.9284216355282573,2.142690706142508,0.2995670213251253,0.41246796093243276,16175.814947881636,19003.523872777903,1.2105783302266184,1.396417812008969,0.6428072118427525,1.9284216355282573,2.57122884737101,1.071345353071254,0,0,0,0,0,0,0.08333333333333333,0,1,0,1555.197957891293,1206.3403262250733
34616,Vancouver Titans,Dallas Fuel,1,59576.20909038693,61207.693404049045,45.648574958662245,70.05474374844205,281.7991985581387,349.89365178499355,26064.073876496677,24892.538848849665,24892.538846748026,26064.07387559274,31858.900504966,31012.581190863315,31183.45242750879,32116.42006777296,39.547032761217295,33.67147360812215,78.86808247808477,109.60177650965935,33.21950751942252,39.547032761217295,31858.900504966,31012.581190863315,0.9039321773992522,2.4858134878479436,26.891982277627758,29.377795765475703,371.0894800975438,270.9500625452707,30.95967707592439,28.473863588076448,3214.45568588938,3265.5418673695995,2987.613897135101,2965.5726408818437,465.04446354360226,465.33989720896824,514.0734758987969,528.8288133050355,600,600,27.013768844752903,26.64665299569434,20.33847399148318,19.88650790278355,534.4118702425561,535.795755211555,28.473863588076448,34.575405785521404,0,0,15413.972950021678,16089.059900400163,2.2598304434981307,6.327525241794766,2.2598304434981307,2.711796532197757,0.3279651360952207,0.2566521718618543,7176.543539417014,5965.952370835066,1.0036686600401257,1.1655103529719446,0,0.22598304434981306,4.293677842646448,3.163762620897383,0,0,0,0,2.0338473991483177,2.4858134878479436,0.02162389577330287,0.02227659289046419,3,6,1231.231414960049,1355.0762529890724
34895,Vancouver Titans,Boston Uprising,1,76825.98190403463,71912.94868641355,85.55681203408292,70.57802298360549,312.76698441133414,278.66347259422685,35515.08654805704,34316.708549786745,34316.708549786745,35515.08654805704,37182.818536656625,34740.59880820026,35045.647298735064,37492.74047765121,30.46533366198798,36.55840039438558,121.60745686743536,101.04335664559348,36.05064483335244,29.957578100954848,37182.818536656625,34740.59880820026,5.83918895188103,4.569800049298197,60.42291176294283,46.45963383453167,407.45379355820506,379.85118493178214,29.957578100954848,29.195944759405148,3309.22080538661,3253.2179043304486,2954.791670011817,2845.2411194906563,483.1091857721038,511.5075812534014,488.5266184652584,630.7372768123911,600,600,28.409693510068504,26.296725175205886,20.310222441325323,19.548589099775622,568.4976596245509,634.5948037976995,54.837600591578365,41.128200443683774,0,0.507755561033133,20816.89015837674,20877.32610789233,9.647355659629527,8.124088976530128,0.7616333415496995,4.062044488265064,0.11877853302739362,0.5748518315982256,4688.3609727994335,3352.7099695017773,1.2877871967458672,1.2122865218255847,0.507755561033133,0,2.5387778051656653,2.031022244132532,3.3004111467153647,0,0.2538777805165665,0,0.2538777805165665,0.2538777805165665,0.019291188064731075,0.014721825093964462,6,2,1248.6014599044308,1154.9361360055707
34521,Los Angeles Gladiators,Boston Uprising,0,60395.15716063915,57593.89836846158,43.63897419863024,54.23095822742398,441.8630880934835,456.777419365095,25675.449814778694,21171.911530377794,25003.284528312244,29200.27567938543,32516.448701331417,35140.21166281939,35502.093087248155,32815.52658894039,32.48208435496748,28.104064289732737,71.17813267349398,86.00691031380521,27.53915847486374,31.634725632663987,32516.448701331417,35140.21166281939,0.42367936115174987,1.1298116297379994,21.183968057587492,27.680384928580988,271.4042050777419,277.18474526851816,18.07698607580799,22.45500614104274,3288.8622640717967,3325.454745294299,3002.140916889049,2969.7857940002846,518.3639650542945,535.5768936365622,487.0279135835803,536.088149076426,600,600,31.780847479815037,30.18416772983234,27.680384928580988,25.279535215387742,320.15842829806127,249.0724904840845,26.691799752560243,25.70321457653949,0,0.14122645371724993,18822.546264872442,17094.702697836266,8.897266584186747,8.473587223034997,2.1183968057587492,2.1183968057587492,0.433970486794302,0.42189110420146714,8772.563625554414,7083.918918457257,1.1040700279753959,1.1875567871055508,0.5649058148689997,0.5649058148689997,2.6833026206277486,3.389434889213999,2.259623259475999,0.28245290743449986,0,0,0,0,0.038170796822146524,0.013437242327011644,5,1,1478.9722953431124,1290.5187566907068
34604,Vancouver Titans,Boston Uprising,1,72138.60551660153,63633.3120692552,68.10513841369284,56.89022041143803,302.3116833966377,227.0475963080247,28058.884316162475,22849.569972682853,25853.026967874135,31917.134205283575,39166.35717886056,35063.59902439425,35270.64019690871,39313.10800925191,28.954879205821506,32.62521600655945,100.52644682021129,85.64119201721854,32.21740080647745,28.750971605780514,39166.35717886056,35063.59902439425,2.8547064005739515,1.4273532002869758,47.51047080955219,38.53853640774834,427.4178699622764,487.23987561702194,25.89626520520656,20.798575204181645,3307.332026573444,3272.622058631952,3083.8354217503966,3025.8918133517477,345.73750503837675,376.05395688737633,386.0900800600969,444.30284691248113,600,600,34.71028939815328,32.01825206215896,28.750971605780514,26.50798800532955,764.3446906066172,655.4971626281922,41.1893352082813,29.97441720602649,0.20390760004099653,0,18586.88367432117,21682.031987041228,11.622733202336802,7.952396401598865,3.0586140006149485,2.8547064005739515,0.358856100149258,0.36520204253742705,12654.505658544245,11375.189375887034,1.1151977168415999,1.1588521646374204,0.20390760004099653,0.20390760004099653,0.8156304001639861,3.466429200696941,0.6117228001229896,0.20390760004099653,0,0,1.2234456002459793,1.0195380002049828,0.024677781801601482,0.017718952172794324,2,2,1296.143985639203,1237.0275635282696
34765,Vancouver Titans,Atlanta Reign,1,68077.28945056496,80618.11461974215,87.12929918151676,48.74875194289455,405.27094192980155,310.9111348293624,28492.09617105852,24030.188995622866,28268.757822847194,30042.852173941235,36016.24781871784,29925.1561972097,30130.155412300748,36363.35052061079,28.55803751878524,38.926242223057585,125.50984642013896,77.12489113353466,38.016750582331944,28.194240862494986,36016.24781871784,29925.1561972097,6.366441485079512,0.9094916407256447,61.481634913053576,29.649427487656016,425.78107092275343,368.6515336766984,57.479871693860744,29.10373250322063,3323.0331724274415,3218.1291293125523,2897.1800671232345,2797.861212380392,452.51406090018946,495.60624513918077,546.255611139868,673.2437489385096,600,600,28.44653326030162,24.831939907331705,23.101087674431373,18.73552779894828,471.25977594780414,567.7143077421742,38.380547238622206,28.739935846930372,0.3637966562902578,0.1818983281451289,15731.235626702248,19778.890012545453,11.82339132943338,6.730238141369769,2.364678265886676,2.5465765940318046,0.2571478223970882,0.4120863315002147,7184.802063404448,6234.019502189858,1.212815942752766,1.1072695555595926,0.1818983281451289,0.7275933125805156,1.6370849533061602,3.637966562902579,1.0913899688707736,0,0.9094916407256447,0,2.364678265886676,0.7275933125805156,0.01874768183970297,0.028300158197514785,5,8,1310.4670416661052,1516.3634599952243
34764,Vancouver Titans,Boston Uprising,1,53655.352769590565,48496.86121826443,50.43948261668573,27.299719972948466,549.4806373970046,415.7070526213927,15491.421782533289,15477.001665964037,17689.377283292342,24149.634653141104,34620.3363354338,26066.231658103465,26245.615859114074,34918.78449011338,22.61976797758587,33.019661300613855,82.67915191807249,49.91948795053433,32.239669301386755,22.61976797758587,34620.3363354338,26066.231658103465,0.7799919992270989,0,31.19967996908396,14.55985065223918,367.76025861881305,267.20810703513064,27.55971730602416,20.01979464682887,3377.387818262387,3304.1317479695635,2809.14438738337,2622.659215236258,484.49657395110495,520.0560125592751,628.7770488822017,813.2316423066355,600,600,28.915900003685444,26.484760380367472,24.17975197604007,23.919754642964367,477.94289145831743,341.63492463266226,22.61976797758587,19.499799980677476,0,0,15784.616181001564,19874.261763775634,10.399893323027985,2.859970663832696,2.5999733307569963,1.2999866653784982,0.3131025831382641,0.44199546622868935,13746.318997045317,14092.115450035995,1.2092091768244762,1.3648709783014907,0,0.7799919992270989,3.3799653299840955,4.419954662286894,0,3.639962663059795,0,0.7799919992270989,2.5999733307569963,0.7799919992270989,0.020609482075201257,0.014100818557852744,4,2,1310.4670416661052,1130.7915095465269
31054,Washington Justice,Toronto Defiant,0,68651.79267972398,65463.20655520431,68.22067000720376,86.9001391758429,547.6270196979885,546.193048868173,19951.58692373772,17469.660276662984,26427.95468670734,31576.443234404975,48384.21352042288,43864.540461457815,44135.43825107624,48517.1961387936,34.92248583702098,27.883845280722177,95.83379834345293,120.46904029049873,26.80097750283005,33.02746722570976,48384.21352042288,43864.540461457815,2.4364525002572774,3.7900372226224315,32.21531639229067,46.02188056041524,365.53881362550624,491.0648501234896,16.78445055732791,18.950186113112157,3253.7811632791036,3328.6763615555947,3013.753222561606,2829.5587611440337,584.6871573156352,576.4350596863037,475.7330660347983,664.0370101063797,600,600,35.699771621805,33.64037912863469,36.54678750385916,30.861731669925515,177.06620630014595,462.4943591939789,31.403165558871574,41.69040944884675,0.8121508334190924,0.5414338889460617,24314.744129230985,30727.475863727705,14.618715001543665,27.342411391776114,1.353584722365154,0,0.20593824712290332,0,22138.41956817104,23046.133482989113,1.6207252458592394,1.3827664288045418,1.8950186113112157,1.0828677778921234,1.353584722365154,1.353584722365154,0,13.806564168124574,0,0,0,0,0.019499149687522647,0.05760134805454696,2,1,1416.6503339206065,1311.3992897021587
34745,Washington Justice,Boston Uprising,1,70324.546494198,64451.46668397411,64.4428898442,62.63776687937647,332.8415049583621,316.3355550445415,36964.3693461742,29451.752959267487,30841.51713150975,37106.79354936236,31273.660239017143,29726.41131112317,29982.201649125334,31542.607851512726,31.77016418089412,32.31170107034117,96.21305402509411,93.86639417082353,31.77016418089412,31.048114994964706,31273.660239017143,29726.41131112317,3.0687090402,3.249221336682353,38.810143743705886,43.86448804521177,435.06118285943114,398.30960022671684,23.46659854270588,32.67272566330588,3288.5294326395706,3287.058257639854,3057.4457037899774,2960.851044188794,521.4371798836903,529.6885802932125,438.34091067674245,534.2209223344286,600,600,25.998555948982517,25.2395376270357,18.59276653768235,18.59276653768235,394.7514409241833,643.2038692974654,37.36604537184706,36.8245084824,0,0.18051229648235295,15335.536971710595,15801.47032139918,7.039979562811765,4.873832005023529,1.6246106683411765,4.512807412058824,0.1826677643911444,0.4881188045371376,6282.369454475329,5919.3592262493175,1.0651366776037965,1.218090760541476,0.7220491859294118,0.18051229648235295,1.4440983718588236,2.166147557788235,1.0830737788941176,0,0,0,0.7220491859294118,0,0.01528077118831047,0.01834356867817713,4,2,1320.9956467701384,1197.7803466558835
