match_id,t1_name,t2_name,t1_win,t1_t2_All_Damage_Done,t1_t2_Assists,t1_t2_Average_Time_Alive,t1_t2_Barrier_Damage_Done,t1_t2_Damage_Blocked,t1_t2_Damage_Done,t1_t2_Damage_Taken,t1_t2_Deaths,t1_t2_Eliminations,t1_t2_Final_Blows,t1_t2_Hero_Damage_Done,t1_t2_Multikills,t1_t2_Objective_Kills,t1_t2_Objective_Time,t1_t2_Offensive_Assists,t1_t2_Time_Alive,t1_t2_Time_Building_Ultimate,t1_t2_Time_Elapsed_per_Ultimate_Earned,t1_t2_Time_Holding_Ultimate,t1_t2_Time_Played,t1_t2_Ultimates_Earned_-_Fractional,t1_t2_Ultimates_Used,t1_t2_Damage_-_Quick_Melee,t1_t2_Defensive_Assists,t1_t2_Environmental_Kills,t1_t2_Healing_Done,t1_t2_Knockback_Kills,t1_t2_Melee_Final_Blows,t1_t2_Melee_Percentage_of_Final_Blows,t1_t2_Shots_Fired,t1_t2_Weapon_Accuracy,t1_t2_Environmental_Deaths,t1_t2_Solo_Kills,t1_t2_Turrets_Destroyed,t1_t2_Teleporter_Pads_Destroyed,t1_t2_Recon_Assists,t1_t2_officialwin_before,t1_t2_pagerank_before,t1_t2_playerrank_before
34842,Seoul Dynasty,Hangzhou Spark,0,-8050.498919999998,3.748062779999998,59.38338550000003,-5036.887909999998,-5171.64242,-300.17577000000165,-4495.516329999999,-5.80833281,6.51579864,2.7522229100000004,-300.17577000000165,0.9847916850000001,3.691296529999999,-10.290178500000025,3.024500230000001,53.743437000000085,-53.99465599999985,-38.63299570000004,64.89706649999994,0,-1.1378466700000018,0.6966444100000011,-73.82895389999999,1.806942129999996,0.015512947999999971,-3107.9936400000006,4.090131343,0.618997603,0.008598831000000029,3404.155481,-0.4131371050000001,0.10984442900000008,0.11606267699999995,0.0005205830000000189,0.104717705,0.281651579,4,0.017262052,36.30283499999996
34843,Houston Outlaws,Dallas Fuel,0,283.9433199999985,-6.888400410000003,-31.21517,720.862509999999,803.8142700000026,28.36456999999791,-1593.5809999999983,-2.3890527600000055,-10.087047470000002,-3.1336579899999997,28.36456999999791,-1.322173015,-7.473679360000002,16.258852200000035,-9.355411030000003,22.710638000000017,59.194326000000274,-70.2114643000001,-74.75933000000003,0,0.3695177100000002,0.47733779999999726,53.76830100000001,-2.537748569999998,-0.06498906999999998,-1406.9341300000015,1.8502291249999985,0.09245535599999988,0.014863405000000024,275.8958739999998,-0.03554482400000003,-0.058647656999999964,0.172767173,1.216594189,0.09312292300000001,0.378400746,-1,0.009885558,-0.0870359999998982
34844,Vancouver Titans,Paris Eternal,0,-8092.117510000004,-40.77482912,-98.00853719999998,-2846.2212499999987,-3008.468289999997,-3186.9929700000066,1467.1748200000002,14.107064790000003,-57.147225250000005,-16.00029348,-3186.9929700000066,-3.5920258789999995,-16.666459709999998,-46.65807080000002,-15.019157400000001,-124.21549500000037,68.6028510000001,186.0581042,-46.67399949999998,0,-1.1776939099999986,-2.716050659999997,-135.90208569999993,-29.448213329999998,-0.372102611,-3020.649599999997,-7.605412812999999,-1.65936912,0.027353022000000005,1573.4557520000008,0.12660452700000002,-0.10664009300000005,0.26990570999999974,-0.286484913,-0.49635713100000006,0.027776962000000016,-10,-0.060663475,-35.496769000000086
34891,Toronto Defiant,Los Angeles Gladiators,0,223.9887399999934,-19.652663890000007,-19.515387599999997,1188.783370000001,3000.516960000001,-1058.165939999999,3455.79363,8.620545459999999,-28.152516079999998,-8.369414289999998,-1058.165939999999,0.26026448199999974,-6.52896307,3.1859428000000207,-8.657017069999998,-77.37605699999995,-68.30216299999984,88.78413419999993,85.16538580000002,0,-1.6000303999999979,-1.3770324900000013,-95.92796650000003,-16.58262278,-0.13043786000000002,2403.6662700000015,-4.882192377,-1.8405025630000003,-0.12286978099999998,-1950.7202350000002,0.007628761999999956,-0.204014967,0.27395279299999986,1.2858590369999998,0.34775367600000007,-0.340384386,-2.200000000000001,-0.012473058000000002,102.59807100000012
34892,Washington Justice,Dallas Fuel,0,-770.5461199999991,-8.708462359999999,-68.21332660000002,830.1557900000007,1745.4960500000016,-1356.2387600000002,-215.88790999999765,0.8446918600000046,-11.95924094,-3.074880620000002,-1356.2387600000002,-0.6597416220000001,-8.208086389999998,-25.165784700000017,-7.274539479999998,-10.803617000000031,-50.31897200000003,-44.91703700000005,53.67044169999997,0,-1.5918370599999996,-1.179541969999999,-78.22382590000001,-2.059048330000003,-0.17589796,-1317.3311299999987,-1.1816241319999996,0.2649849099999999,0.024076345,2004.3264829999998,-0.387463613,-0.09050984200000001,-0.071835439,0.14712242600000003,0.011767697000000008,-0.244871919,-2.799999999999999,-0.0039022660000000015,73.60102800000004
34893,Los Angeles Valiant,Houston Outlaws,1,-1917.5503699999972,-0.12105082000000067,93.57530309999999,-2462.7100599999976,-4877.535229999998,367.8599699999977,-2894.1321499999976,-1.7477238700000015,3.7234781800000007,3.9047784099999987,367.8599699999977,0.769966312,1.3409731700000016,-66.95913999999999,0.8004056499999983,12.218904000000293,7.8347829999997884,66.52639929999998,-5.38997930000005,0,-0.01907248999999922,-0.21411949000000163,82.57341720000005,0.7364367700000045,-0.060249414,-1659.2149800000007,-2.182420839999999,0.9939913169999999,0.272797839,-740.8573090000009,0.192400731,-0.16670255,0.3570528769999999,-0.5173993139999999,-0.032572884999999996,0.137400089,3.4000000000000004,0.018255943000000004,46.984318999999914
34894,Vancouver Titans,Atlanta Reign,0,-6056.336199999998,-7.551140889999999,-90.46207650000002,-583.1384700000017,126.09803999999713,-1674.6921100000036,2328.088960000001,13.238670120000002,-14.310951450000005,-6.762415100000002,-1674.6921100000036,0.5881031449999998,-0.027963689999999986,-40.1852116,-5.194473350000003,-123.491802,60.386643999999706,161.40622889999997,-50.58515410000001,0,-0.4666263999999991,-1.104540410000002,34.14101000000005,-11.08199677,0.002604527999999995,-986.3790599999993,-1.5633638430000003,-0.40753800399999984,-0.016899060999999993,-1365.674989,0.18512739899999997,0.022707864999999994,-0.24324297699999997,0.8629423780000001,0.12748462599999996,0.26929241000000004,-3,-0.008905382,12.632691000000023
34895,Vancouver Titans,Boston Uprising,1,10065.457900000001,12.021526000000001,-97.44385950000003,7422.35224,4243.463889999999,2104.4510999999984,4317.100899999998,12.380682669999999,14.063945440000005,1.5865020400000027,2104.4510999999984,1.678415431,3.7039031899999983,-21.560543499999994,3.166366889999999,-126.44728200000009,61.925884000000224,60.207944599999905,-76.7225325,0,0.4495451199999998,-0.3032509000000019,179.7764929,6.05832466,0.455917392,731.5281499999983,2.3337083530000005,-0.638010542,-0.28476639000000004,-2101.9175259999993,-0.015153484999999911,-0.6362601689999999,-0.10161880300000004,1.867816927,0.43570595999999995,-0.180412043,4,0.00498871,143.50173799999993
34901,San Francisco Shock,Dallas Fuel,1,1900.2857399999994,15.157034499999995,194.56264019999998,-888.2632200000007,-4201.143500000002,1411.4107799999983,-4634.801769999998,-10.329404930000003,24.644044429999994,9.412263620000004,1411.4107799999983,-0.35714929400000006,9.196107100000006,36.343658600000026,3.0360824300000004,89.35191600000007,-56.81891600000017,32.97338920000004,54.302476400000046,0,0.0045927100000007215,0.39180246999999824,159.6212476,17.12603164,0.07474631599999998,-1527.2825200000007,3.3361270839999992,0.8759153020000001,0.181467423,1033.0273289999996,0.026511729999999956,-0.15691890300000005,1.2537038800000002,-0.273291108,-0.048897725999999996,0.18426286400000003,10.6,0.051777129,123.95416899999987
34902,Florida Mayhem,Atlanta Reign,1,-7564.766959999994,-1.2569624099999999,42.2798593,-6871.383310000001,-2319.8783900000017,113.7253800000035,-4701.760409999995,-4.325160570000001,-0.8101496000000026,0.6510344100000012,113.7253800000035,-0.7884489860000001,-1.4180757499999999,-12.25120609999999,-4.985425249999999,42.295438000000104,-32.727642999999716,5.85893759999999,29.35381110000003,0,-1.6237505999999975,-1.2942975600000004,102.50245840000002,-2.6520809100000022,-0.20422162100000002,-1148.349140000002,-4.483574428,1.0107141069999999,0.06141406399999999,-2457.7124430000003,-0.11812057499999984,-0.22253094,-0.04143621700000022,-1.6300706719999998,-0.190175674,0,4.200000000000001,0.019324866000000003,30.54089399999998
